sunday hai aaj,संडे है आज
Suresh,सुरेश
all rounder,हरफनमौला
hardees,Hardees
zinger,zinger
tables,टेबल
disco outfit,डिस्को पोशाक
Tea leaf,चाय पत्ती
willpower,इच्छा शक्ति
joggers,जहां जॉगिंग
running shoes,दौड़ने के जूते
puma,प्यूमा
adidas,एडिडास
green dress,हरे रंग की पोशाक
neck piece,गर्दन का टुकड़ा
Gym outfit,जिम पोशाक
Selfie queen,सेल्फी क्वीन
Casual tees,आकस्मिक टीस
Colourful bags,रंगीन बैग
Longskirt,लम्बा घाघरा
Funky tshirt,फंकी टीशर्ट
Lid box,ढक्कन का डिब्बा
Black top,ब्लैक टॉप
Casual tee,आकस्मिक टी
Party dress,पार्टी के कपड़े
Polka dot,पोलिश औरत
Flashtshirt,Flashtshirt
gotta,होगा
fawad khan,फवाद खान
photos,तस्वीरें
gadget,गैजेट
unlimited,असीमित
sauda,बीज
faide,अधिक
hotspot,हॉटस्पॉट
Helicopter shot,हेलीकॉप्टर ने गोली मारी
medium,मध्यम
juban,होल्ड
irfan,इरफान
amithabh,amithabh
girlsfriend,प्रेमिका
bahu,कंधे
triple,ट्रिपल
undertaker,चालू करनेवाला
taker,लेने वाला
shawn,शॉन
henry,हेनरी
kofi,कोफी
kane,केन
backdrop,पृष्ठभूमि
jhon,जॉन
wretler,पहलवान
daniel,डैनियल
ziggler,ziggler
they,वे
bouncy,उछालभरी
surma bhopali,सूरमा भोपाली
diana,डायना
hippolyta,Hippolyta
bay,खाड़ी
drowning,डूबता हुआ
i've,मैं ने
roll up,जमना
sunrays,सूरज की किरणे
topper,टोपर
examinations,परीक्षाओं
questions,प्रशन
answers,जवाब
movie star,फिल्म स्टार
bieber,बीबर
pun,भी
lipsink,लिप सिंक
justine,जस्टिन
dhinchik,Dincik
thug life,ठग का जीवन
tending,रखरखाव
picnic,पिकनिक
sakinaka,sakinaka
fidget,कुलबुलाहट
buster,बस्टर
pankhha,पंखः
burster,burster
ghoom,नींद
ayenge,आएंगे
bubbye,bubbye
Shani,शनि
maharaj,महाराज
cruise,क्रूज
khate hain,कहते हैं
booked,बुक
sajan,मनगढ़ंत
bajaiyo,बजैयो
sohel,सोहेल
fauzi,Fauzi
panjabi,पंजाबी
daljeet,दलजीत
booking,बुकिंग
Sholey,Sholey
dharmendra,धर्मेंद्र
minion,कृपापात्र
dedh foot,डेढ़ फुट
bawal,निषेध
kavach,कवच
wiskey bottle,व्हिस्की की बोतल
pettels,पेटल्स
petteles,Pettels
magic stick,जादुई छड़ी
parlour,बैठक
street lamp,सड़क का दीपक
bagavan,भगवान
bellones,bellones
head phones,हेडफोन
exteerier buildings,भूतपूर्व भवन
khurta,एक बर्फ का तूफान
pattar,knockers
boundry,सीमा
ghera,घेरा
baada,के बाद
flower boquet,फूलों का गुलदस्ता
pushpa gucha,पुष्प गुच्छ
greeting card,शुभकामना कार्ड
bond fire,बंधन अग्नि
exteerier,exteerier
foot path,पैर का रास्ता
uddass,uddass
lined tshirt,पंक्तिबद्ध टीशर्ट
dhothi,धोती
bagwan,बागवान
fencing,बाड़ लगाना
colour's,रंग की
dumball,Dumbal
dumball, kachaa,डंबल, कच
joothe,जूठे
himmmat,हिम्म्मत
sleeping panda,नींद का पांडा
sota bhalu,सौभाग्य है
bowls,कटोरे
beer mugs,बीयर मग
katore,कटोरे
chiken,नैदानिक ​​परीक्षण
daaruu,इसे चालू करें
taditional wear,पारंपरिक वस्त्र
sri ram god,श्री राम भगवान
sri ram,श्री राम
bagawan,bagawan
patterened tshirt,पैटर्न वाली शर्ट
colourful tshirt,रंगीन टीशर्ट
pagal pyaar,पागल प्यार
paijama white,पायजामा सफेद
shiva ling,शिव लिंग
bhagavan,भगवान
two guys,दो लोग
doost,doost
trowser,पतलून का
nikker,सिर हिला देते हैं
middle fineger,बीच की ऊँगली
lord krishna,प्रभु कृष्ण
desi shirt,देसी कमीज
bagvan sri krishna,bagvan श्री कृष्ण
bhagavan bakthi,भगवान की भक्ति
chai cup,बोतल कप
sugar cane,गन्ना
cheeni,चीनी
triipy,triipy
sikka,sicca
paper bowl,कागज का कटोरा
plate aarti,थाली आरती
moti choor laddu,मोती चूर लड्डू
evil eye,शैतान की आँख
nazar rakshak,नज़र रक्षक
cork,काग
tred mill,ट्रेड मिल
birthaday,जन्मदिन
janam din,जनम दिन
key board,की बोर्ड
mobilel,mobilel
zanda,Zanda
doothi,लौकी
Fauj,फ़ौज
lohe ka danda,लोहे का डंडा
desh premi,देश प्रेमी
glass, ice, bottle,ग्लास, बर्फ, बोतल
daaru, baraf, botal,शराब, बर्फ, बोतलें
happy, sad,खुश उदास
khush, udas,खुश, उदास
happy, swag, excited,खुश, प्रफुल्लित, उत्साहित
khush, tashan, utsuk,खुश, टशन, उत्सुक
confident, swag, happy,आत्मविश्वासी, स्वैग, खुश
atmavishwas, tashan, khush,atmavishwas, tashan, khush
confident, happy,आश्वस्त, खुश
bat, ball, wicket,बल्ले, गेंद, विकेट
atmavishwas, khush,atmavishwas, khush
balla, gend,चलो, जेंड
headlight,हेडलाइट
sheher,Sheher
lord venkateshwar,स्वामी वेंकटेश्वर
venkteshwar,वेंकटेश्वर
kruta,ठोस
banner,बैनर
thong,पेटी
tiles,टाइल्स
bear suit,सहन करना
anrgry,गुस्सा
pane,फलक
dance floor,डांस फ्लोर
kamra,कक्ष
doors,दरवाजे
awaz,आवाज़
kriya,क्रिया
prakash,प्रकाश
netted,netted
chana hua,फ्लैश फूल
eiffel tower,एफिल टॉवर
river,नदी
sanfals,sanfals
wrestling ring,कुश्ती का छल्ला
Taja mahal,ताज महंगा
desh bhakti,देश भक्ति
burgers,बर्गर
phatta,फटता
lehrein,लहरें
koonda,एक साथ रखा
chokor,chokor
thred,thred
smiley,स्माइली
shitt,shitt
doller,डॉलर
rist band,वृत्ति बैंड
stupa,स्तूप
sanchi,उत्पादक क्षेत्र
sanchi stupa,सांची का स्तूप
tutna,Tutne
bhagwan ji,भगवन जी
seats,सीटों
mukti,रिहाई
rashtrapti,राष्ट्रपति
undergarments,जांघिया
sakth,सख्त
agya,दिमाग
chandama,चन्दमा
chandra,चन्द्र
manzile,मंज़िले
celabrations,सेलेब्रेशन्स
ribbons,रिबन
Khish,खिश
stage show,मंच पर शो
cricket ball,क्रिकेट की गेंद
Embarrassed,शर्मिंदा
Sharamnaak,शर्मनाक
rona,Rona
aasoon,आसूं
moile,moile
Wresting ring,कुश्ती का छल्ला
handi,महान
papaer,कागज़
ranholi,ranholi
jhopadi,झोपड़ी
chooriya,चूरिया
taara,वे हैं
lord balaji,स्वामी बालाजी
champion belt,चैंपियन बेल्ट
fidget spinner,फिजेट स्पिनर
aansoo,आंसू
pade,पड़े
hand gloves,हाथ के दस्ताने
broken heart,टूटा हुआ दिल
thoota dil,बुलेट डिल
library,पुस्तकालय
pustaken,पुस्तकें
pustakaalay,पुस्तकालय
wine glasses,वाइन के गिलास
traditional saree,पारंपरिक साड़ी
champange bottle,शैंपेन की बोतल
upakaran,सामग्री
sadak ka deepak,सड़क का दीपक
pressure coocker,प्रेशर कुकर
chamchal,चंचल
bhandara ghar,भंडारा घर
blows,चल रही है
