bobble,ڪوبہ
aaj blue hai pani,ا is نيرو پاڻي آهي
बीते दिन,ڏينهن گذري ويا
ठंडक,ٿلهي
हेहे,هو
रैंबो,رامبو
महौबत,پيار
थक गया,ڏکايل ٿي ويو
एवेंजर,انتقام وٺندڙ
परेशानी नहीं,مصيبت نه آهي
mudik,گهر وڃي رهيو آهيان
lebaran,عيد
ied,آئي
लेडी,معشوق
rindu,وڃاءِ
kangen,توکي ياد ڪر
pantura,پنڊيرا
ngantuk,سمجهه ۾
बढ़ावा,وڌاءُ
दुनिया के बहार,دنيا کان ٻاهر
प्यार नहीं,پيار ناهي
बच के रह,زنده رهو
तैयार रहो,تيار ٿيو
समझाऊ,وضاحت ڪريو
playful,چنچل
packing,پيڪنگ
nariyalpani,نربيلن
coconutwater,ناريل جو پاڻي
ghoomne,رومڻ
travelbags,سفري بيگز
eiffeltower,ايفل ٽاور
satisfied,مطمئن
ghoomna,گھمڻ لاء
worldtrip,دنيا جو سفر
nostress,نصيب
travelbag,سفري بيگ
idul,عيد
fitri,فطرري
idulfitri,بت پرست
bestdadintheworld,bestdadintheworld؟
happyfathersday,ابن ڏاڏن جو ڏينهن مبارڪ
bestdad,نيڪ داد
appa,پاپا
लड़की,ڇوڪري
लड़का,ڇوڪرو
20-20,20-20
न्यूज़,خبرون
बहम,بهم
कमेंट्री,تفسير
happy fathers day,ابن ڏاڏن جو ڏينهن مبارڪ
बुक,ڪتاب
बस्ता,ٿيلهو
Ghareloo,گھربل
Quirky,نرالي
Hometalk,همراه
GharelooBaatein,گھربل
announcement,اعلان
GettingLate,حاصل ڪرڻ دير
buttering,مکڻ
eatoutside,کائڻ کان ٻاهر
willcomelate,آرام ڪيو ويندو
nofood,اجايو
indianwife,هندستاني
salwarsuite,سالارسوائيٽ
fathers day,ابن ڏاڏن جي ڏينھن
happy father's day,پيءُ جو ڏينهن مبارڪ
abba,ابا
thakna,کير سان آو ويس
thakan,ٿانون
rajiv,راجيو
chowk,چوڪ
kiya,ڪيو
bahana,باهن
safar,سفر
chalau,لالو ھليو آيو
violet,واڻائي
bheed,مجمع
crowd,گڏ
raji,راجي
janta,رم
squeeze,نچوڙي
ketupat,هيرا
kue,هڪ ڪيڪ
helathy,صحتمند
ypga,يوپيگا
yog,ھا آھن
ramdev,رامديو
pitanjali,پتنجلي
world music day,دنيا جو موسيقي جو ڏينهن
international yoga day,بين الاقوامي يوگا جو ڏينهن
चल पार्टी करते हैं,اچو ته دعوت ڪريون
पुराणी बाते,پراڻي ڳالهه
उबासी,بيزار
बढ़िया करना,ٺيڪ ڪرڻ
पढ़ाई,اڀياس
मज़्ज़े,مزيدار بحث ٿيو
मज़े,مزيدار بحث ٿيو
happy eid,عيد مبارڪ
Eid mubarak,عيد مبارڪ
eid-ul-fitr,ڊيلفٽ
mubaral,متاثر ڪندڙ
jai jagannath,جيئي جگنناٿ
jagan nath,جگن ناٿ
rath yartra,رت جو سفر
rath yatra,رت جو سفر
shooter,شوٽر
scooted,اسڪوٽ ٿي
ढूंढना,ڳولڻ
फोन खराब,فون خراب آهي
नकाब,ماسڪ
metal,ڌاتو
morning se,صبح جو ايس
gussha,پينسل
jugad,الهاد
होपाएगा क्या,ڇا تون اميد ڪندين؟
being human,انسان هئڻ ناتي
गुंडागर्दी,حماقت
काला धन,ڪارو پئسو
डेरे,ڪيمپ
मेरे  लिए,مون لاءِ
पड़ा,ڪوڙيندي
रोमियो,روميو
स्वैग,سويگ
मेरा भारत,منهنجي انڊيا
जवान जवान,جوان جوان
देश पर,ملڪ تي
machau,مچائو
blankets,ڪمبل
takiya,ڳلي
sirhana,سائرنه
kambal,ڳنيل
chadar,چادر
chaddar,چادر
palang,بار
Bimaar,بيمار
rudraksh,رودرڪش
natkhat,شرارتي
kameez,ڪريمز
chaand,ڇنڊ
aasmaan,آسمان
taare,تار تي
behosh,بي پرواه
guldasta,گلدستو
sweatshirt,سوئيٽ شرٽ
kush,خوشبو
Actions,ڪارناما
smoking pipe,تماڪ ڇڪڻ وارو پائپ
chilam,هوندو هو
dhua,دعا
ghamand,فخر ڪيو
party poppers,پارٽي پاپر
mombatti,هڪ ميڻ بتي
bankrupt,ڏيوالپڻي
jurab,نياڻين
baniyan,بنیان
kachcha,خام
udaas,اداس
alas,افسوس
gulab,گلاب جو
chahat,چاهيو
jalna shaitan,ٻرندڙ شيطان
patloon,پينٽون
kapade,پٽي
poshak,ڪپڙا
thakaan,ٿڪ
bean bag,شين جو ٿيلهو
note book,نوٽ بڪ
baithak,گڏجاڻي
biscuits,بسکٽ
biskut,بسکٽ
baadal,بيدل
aasaman,آسمان
microphone,مائڪروفون
bottal,لٺ
khidaki,ونڊو
gym freak,جم جو فڪر
happpy,خوشي
balwaan,بالڪل
utsukh,متقي:
shaitan,ڊيمن
raub,چورائڻ
cloud,ڪڪر
bacchha,ٻڪري
bhalu,برداشت ڪريو
khilona,رانديڪو
pyara,پيارو
kushi,مڪمل استعمال
prasang,سمورو
jumpsuit,جمپائيٽ
bachcha,ننڍو
asman,آسمان
asmanjas,مشڪوڪ
red t-shirt,ڳاڙهي ٽي شرٽ
laal kapde,ڳاڙهو ڪپڙا
powerful guy,طاقتور ماڻهو
jewels,زيور
gehne,زيورن
balshali,مضبوط
takatwar,زبردست
atmavishwas,ايٽميائيلوز
disco lights,ڊسڪو لائٽون
paushak,غير جانبدار
indian god,انڊين خدا
water fall,پاڻي جو زوال
dedicated,وقف
shiv ling,شو لنگا
lingam,لنگم
jharna,چشمن
pahad,خراب
numb,نون
jutey,جوڙي ۾
watercolour effect,واٽر رنگين اثر
dangree,گرم هجڻ
indian map,انڊين نقشو
waist coat,کمر جو ڪوٽ
indian outfit,هندستاني لباس
pumped up,دٻاءُ وڌي ويو
bharat ka naksha,هندستان جو نقشو
desh prem,ديس پريم
topi,طالب المولي
mobile camera,موبائل ڪئميرا
mini skirt,نن skڙي اسڪرٽ
circle,دائرو
choti skirt,نن skو سکرٽ
night suit,رات جو سوٽ
night sky,رات جو آسمان
tierd,جشن ملهايو ويو
raat k kapde,رات جا ڪپڙا
raat ka asman,اڻ سڌريل رات
akash,اڪڪاش
nind,ناڻو
heals,شفا ڏيندو
sandals,سینڈل
naraaz,ناراض
baby suit,بيبي سوٽ
bachhe k kapde,ٻارن جا ڪپڙا
baloons,گببار
colourful clothes,رنگين ڪپڙا
taufe,بپتسما
rangeen kapde,رنگين ڪپڙا
ajeeb,بدبو
sawaliya,سوال
hara adami,هار ايڊامي
nikkar,شارٽس
folded hands,ڳاڙها هٿ
disappointment,مايوسي
naraz,۾ هڪ ڀيرو
nirash,ناپسنديده
atamavishwas,آتمشيواس
Celebrities,مشهور
sidhu,صدو
ghadi,گھڙي
tauliya,ٽوال
hamock,ڳچ
jhula,Hammock
udas,بيزار
makdiman,ميڪدم
naqab,نقيب
soldiers,سپاهي
partiotic,وطن
vardi,vardi
walking stick,هلندڙ چاڪ
deshprem,وطني
children's book,ٻارن جو ڪتاب
talwar,تلور
kapda,ڪپڙا
surf board,سرف بورڊ
samundar,سمنڊ
samudra,سمنڊ
chaata,پاڇو
pishach,پوشاڪ
dara hua,دارا هائو
chintit,پريشان آهي
muscular guy,ڏڪندڙ ماڻهو
ethenic wear,اخلاقي لباس
frock,فڪر
kursi,ڪرسي
thakavat,ڪپڙو
test tube,ٽسٽ ٽيوب
lab coat,ليبارٽري کوٽ
experimenting,تجربو
cautious,محتاط
jaagrit,اٿي
baseball bat,بيس بال جي بيٽ
Interests,دلچسپيون
yellow pants,پيلو پتلون
bricks,اينٽن
brick wall,سرن جي ڀت
pili patloon,پيلو پتلون
enten,يا
enton ki diwar,سرن جي ڀت
indian wear,انڊين لباس
patake,سليم
phatake,فٽ
aatishbazi,آتش بازي
bumb,بدبو
patakhe,آتش بازي
ullas,مايوسي
mazze,maces
kamyabi,ڪامياب ٿيو
maze,مونجهارو
garland,مالا
hoodie,هيڊي
cosplay,cosplay
thand ke kapde,ٿڌا ڪپڙا
daravna,ڌاڙيل
pervert,خراب ڪندڙ
kursi, heels,يقينا ، ہیلس
doorbeen,سٿرو
taare, badal,تار تي ، خراب
wristband,کلائي پٺي
chidna,لدنا
stiches,سلائي
taanke,مختصر طور تي
bhooka,بکيا
trident,ٽڪنڊنڊ
seengh,سنگه
hassi,حسي
chamkadar,چمڪائيندڙ
atma vishwaas,  fakrr,خود اعتمادي ، فريڪر
jewell,زيور
shivaling,رٻڙ
ghene,گني
vishwaas,وشواس
bharosa,اعتبار
shoe,جوتن
shirt or kamij, pant,شرٽ يا ڪيميج ، پينٽ
joota,بوٽ
lachaar,لاچار ، مددگار
Scaf,اسڪاف
racquet,ريڪٽ
sofa' slippers,صوفا جا چپل
nikar,نيرڪار
joote,بوٽ
police uniform,پوليس يونيفارم
aatmvishvas,اعتماد
vidhyalya,اسڪول
handpump,هٿ پير
hut,هٽ
pathani salwaar,پتني سالور
pump: jooti,پمپ: جوٽي
teer,پکي
dhanush,ڌنوش
talvaar,تلوار
kawach,شوڪت
atma vishvaas,نفس اعتماد
atamvishvaas,اعتماد
fakr,faker
khamand,خوشند
fakrr,fakra
frustrated,مايوس
dukhi,خوشبوءِ
dumble,گونگا
bhaar,وزن
nikarr,نصير
prerna,سڪون
hairan,حيرت
fat body,چرٻي جسم
ursi,پيٽ
khat,لڪائڻ
revolver,ريوالور
lamp,ليمپ
achambha,حيرت ٿي
zoombie,زومبي
hara,هار
dantna,ڊڻ
puraskar,انعام
garv,چمڙي
exicted,پرجوش
baksa,Baksa
manana,آهي
utsav,جشن
toy,رانديڪو
sadist,سادگي پسند
downhearted,بي دل ٿيس
unhappy,ناخوش
dejected,نافرمان
rejectful,رد ڪندڙ
kutta,ڪوٽا
patta,جي
mayus,مايوس
gum,گم
mayusi,مايوسي
bachon k kapde,ٻارن جا ڪپڙا
safed kameez,اڇي قميص
bandit,رلٽ
poshakh,پوسٽشاهه
thakawat,ڪپڙو
design,خاڪو
mohobbat,mohabbat
disco ball,ڊسڪ بال
rangeen roshni,رنگارنگي روشني
amir khan,عامر خان
sheild,shieldال
dhaal,دهل
mitti,ٻانهي
lipstick marks,لپسٽڪ نشان
video game,ويڊيو راند
tablet,ٽيبليٽ
iPad,آئي پيڊ
icha,اِيچا
utsook,اڀرندڙ
captain america,ڪئپٽن آمريڪا
witch hat,ڊائن ٽوپي
kya hai be,خليج ڇا آهي
main to hero hu,مکيه کي هيرو هو
superhero bol,سپرھرو بول
dekh meri aukat,منهنجي پوزيشن ڏسو
bas ready hogaya,بس تيار آهي
shoes pehan raha hoo,وارا جوتا رکڻ
jhadu,جھاڑو
ant man dress,انسان جو لباس
Gaming,رانديون
ghoda,گهوڙو
parda,اسڪرين
juta,ملي
footwear,پيادا وار
paaduka,پيادوڪا
backpack: sneakers,بيڪ پيڪ: سنوڪر
basta,ڪافي
talvar,تلوار جو
yaachna,يوچنا
feather,پنڌ
honth,ڳيچ
chumban,چومايون
chitthi,خط
chummi,چيم
bhawnayen,جذبات
bracelet,ڪنگڻ
gown,گاؤن
rasoiya,پچائڻ
bawarchi,بچارچي
vadyyantra,موسيقي جا آلات
hammok,توهان جو ڌيان
capri,ڪيپري
moze,هي ڪري سگهي ٿو
aanand,آنند
bahadur,بهادر
coat: sofa,ڪوٽ: صوفا
katta,وڏو
pistaul,پستول
akad,نه
ahankar,انا
jhaadu,جھاڑو
kudedaan,ڊاسبين
jhola,ٿيلهو
sadak,رستو
tohfaa,ورهايو
tohfa,تحفو
phul,ٻوڏون
shooes,بوٽ
laddo,لاڊو
shirt, short kurta,شرٽ ، نن kurو ڪپ
suit, kurta,سوٽ ، ڪرتا
night suit, sun,رات جو سوٽ ، سج
night suit, suraj, sooraj,رات جو سوٽ ، سج ، سج
beer, bottle, vest, boxers,بيئر ، بوتل ، بنیان ، باڪسر
kachcha, botal,,خام ، بوتل ،
beer, bottle, alcohol,بيئر ، بوتل ، شراب
botal, sharaab,نباتات ، جوس
costume, boots,لباس ، بوٽَ
proud, confident,فخر ، اعتماد
garvit,فخر
aatmvishwas,اعتماد
vest, sneakers, jeans,بنیان ، سنوڪر ، جينس
disagree,متفق نه
shameez,شميز
asahmat,تڪراري ڪرڻ
sneakers, shoes, skirt, top, t shirt, jeans,سنيئر ، بوٽ ، اسڪرٽ ، ٽاپ ، ٽي شرٽ ، جينس
mazakiya,مسخري
kamiz,شرٽ
doctor tape,ڊاڪٽر ٽيپ
bandage,پتي
sarcastc,طنزيه
katu,منزل
vayangpurn,مذاڪراتي
joote kamiz,جوتے واري شرٽ
prem yukt,پريم يوڪٽ
gaay,زمين تي
kameez, pant, joote,شرٽ ، پنڊ ، بوٽ
baby diaper,ٻاراڻو لنگهيندڙ
nappy,نپي
tea glass,چانھ جو گلاس
shovel,ڇانو
fawda,ڇانو
Indian womens suit,هندستاني عورتن جي سوٽ
salwar suit,سلوار سوٽ
darna,هن کان
uttejit,جوشائي ٿي
mugs,مگس
kup,فورمز ۾
roomantic,roomantic
joote, joota, jootey,بوٽ ، جوتا ، پنڌ
cheeky,چالاڪ
tolia,توليا
potatoes,آلو
onions,بصر
musical instrument,موسيقي جو اوزار
claws,پنجون
skeletion,ڍانچين
nakhooh,ناڪو
panje,کاڌا
kankal,اکيون
weighing machine,وزن کڻڻ واري مشين
tarazu,ڪافي ناهي
khana, daaru,کنا ، دارو
Aur bata yaar,وڌيڪ دوست ٻڌايو
kya chal raha hai,ڇا ٿيو
boss kaun hai,باس ڪير آهي؟
aur sunao,وڌيڪ ٻڌايو
kya hal hai,ڪهڙو حل آهي؟
tera maa ka bosada,تريرا منتقل نه ٿيو آهي
chup kar,چپ بند ڪريو
chutiye,پن ڇڪي
playsuit,رانديڪا
sitara,اسٽار
dissaproval,ناجائز قرار
vision,ڏسڻ
fictional superhero,افسانوي وڏيرو
poshaak,لباس
champagne glass,شيمپين گلاس
wine glass,شراب جو گلاس
sharaabh,جراب
arrows,تير
gada,جو
bhalla,ڀلا
aatmvshwas,اعتماد
bouquete,گلدستو
baby clothes,ٻار جا ڪپڙا
chariot,رتھ
rath,رياض
Indian ethnic suit,هندستاني نسلي سوٽ
salwar kameez,سلوار قميص
office desk,آفيس واري ڊيسڪ
office table,آفيس ٽيبل
notebook,نوٽ بوڪ
cigarrette,سگريٽ
kalam,الفاظ
Furtila,Furtila
bangage,ڌمڪيون
bandaid,بينڊ امداد
stethoscope,اسٽيٿواسڪوپ
doctor's coat,ڊاڪٽر جي کوٽ
chaaku,چاقو
khanjar,خنجر
soft toy,نرم رانديڪو
Sad, happy,ڏکايل ، خوش
bhaalu,برداشت ڪريو
khush, dukhi, naraz,خوشگوار ، غمگين ، ناراض
diary,ڊائري
daftar,فهرست
happy, proud,خوشي ، فخر
jutti,محسوس ڪيو
flip flops,فلپ فلاپ
boxers,باڪسر
baniyaan,بنیان
shooting gun,فائرنگ جي بندوق
loafers,لوفرس
suit loafer,سوٽ لوفر
sinhasan,تخت
bodybuilder,باڊي بلڊر
flipflop,فلپ فلپ
ethnic Indian suit,قومي نسخو هندستاني سوٽ
salwar,سلوار
kamweez,ڪڏهن به نه
rally,ريلي
dharna,وڪري جي
swami ji,مڙس
costumer,گراهڪ
chola,هليا وڌو
buildings,عمارتون
imaarat,پيار
alarm clock,الارم ڪلاڪ
Indian flag,انڊين پرچم
tricolour,ترنگا
ashoka chakra,اشوڪا چڪر
anghutha,ٿِٻو
screwdriver,اسڪوچ
